college_id,name,lat,lon,state,type,control,acceptance,enrollment,tuition,url
heritage-christian-university_AL_34.856_-87.663,Heritage Christian University,34.856153,-87.663051,AL,Faith-Based,Private Nonprofit,100.0%,63,"$11,982.00",www.hcu.edu
jacksonville-state-university_AL_33.823_-85.765,Jacksonville State University,33.822938,-85.765321,AL,Public Regional Universities,Public,76.2%,"7,030","$12,426.00",www.jsu.edu
jefferson-state-community-college_AL_33.653_-86.707,Jefferson State Community College,33.652535,-86.707233,AL,Community Colleges,Public,,"5,443","$5,040.00",www.jeffersonstate.edu
lawson-state-community-college_AL_33.451_-86.889,Lawson State Community College,33.450814,-86.888844,AL,Community Colleges,Public,,"2,720","$4,980.00",www.lawsonstate.edu
university-of-west-alabama_AL_32.588_-88.186,University of West Alabama,32.588132,-88.186329,AL,Public Regional Universities,Public,87.1%,"2,666","$10,990.00",www.uwa.edu
marion-military-institute_AL_32.624_-87.322,Marion Military Institute,32.623734,-87.322041,AL,Community Colleges,Public,59.2%,308,"$9,538.00",www.marionmilitary.edu
miles-college_AL_33.482_-86.909,Miles College,33.482442,-86.908751,AL,Private Liberal Arts Colleges,Private Nonprofit,,"1,151","$12,714.00",www.miles.edu
university-of-mobile_AL_30.793_-88.129,University of Mobile,30.793247,-88.128934,AL,Elite Private Universities,Private Nonprofit,72.5%,"1,079","$26,120.00",www.umobile.edu
university-of-montevallo_AL_33.106_-86.865,University of Montevallo,33.10625,-86.865099,AL,Public Regional Universities,Public,53.9%,"2,087","$13,710.00",www.montevallo.edu
university-of-north-alabama_AL_34.807_-87.680,University of North Alabama,34.80731,-87.680407,AL,Public Regional Universities,Public,96.5%,"5,468","$11,990.00",www.una.edu
oakwood-university_AL_34.756_-86.653,Oakwood University,34.756344,-86.652705,AL,Elite Private Universities,Private Nonprofit,50.5%,"1,253","$21,838.00",www2.oakwood.edu
samford-university_AL_33.464_-86.792,Samford University,33.464128,-86.791799,AL,Elite Private Universities,Private Nonprofit,82.2%,"3,828","$38,144.00",www.samford.edu
selma-university_AL_32.420_-87.032,Selma University,32.420387,-87.032392,AL,Elite Private Universities,Private Nonprofit,,34,"$4,800.00",selmau.edu
university-of-south-alabama_AL_30.696_-88.179,University of South Alabama,30.696033,-88.178711,AL,Public Regional Universities,Public,65.5%,"8,540","$9,676.00",www.southalabama.edu
spring-hill-college_AL_30.695_-88.138,Spring Hill College,30.694751,-88.138199,AL,Private Liberal Arts Colleges,Private Nonprofit,59.1%,850,"$23,270.00",www.shc.edu
stillman-college_AL_33.200_-87.585,Stillman College,33.200006,-87.585278,AL,Private Liberal Arts Colleges,Private Nonprofit,74.2%,761,"$11,392.00",stillman.edu
talladega-college_AL_33.433_-86.113,Talladega College,33.433472,-86.112704,AL,Private Liberal Arts Colleges,Private Nonprofit,99.2%,782,"$15,650.00",www.talladega.edu
h-councill-trenholm-state-community-college_AL_32.350_-86.343,H Councill Trenholm State Community College,32.350109,-86.343057,AL,Community Colleges,Public,,"1,584","$4,890.00",www.trenholmstate.edu
troy-university_AL_31.800_-85.958,Troy University,31.799583,-85.95802,AL,Public Regional Universities,Public,92.6%,"10,089","$9,792.00",www.troy.edu
tuskegee-university_AL_32.431_-85.708,Tuskegee University,32.4309,-85.708492,AL,Elite Private Universities,Private Nonprofit,31.4%,"2,367","$23,440.00",www.tuskegee.edu
united-states-sports-academy_AL_30.639_-87.912,United States Sports Academy,30.639329,-87.91163,AL,Public Regional Universities,Private Nonprofit,35.3%,136,"$18,900.00",www.ussa.edu
university-of-alaska-anchorage_AK_61.190_-149.826,University of Alaska Anchorage,61.190163,-149.82619,AK,Public Flagship Universities,Public,66.5%,"6,916","$7,566.00",www.uaa.alaska.edu
alaska-bible-college_AK_61.599_-149.112,Alaska Bible College,61.598553,-149.111972,AK,Faith-Based,Private Nonprofit,,34,"$10,930.00",www.akbible.edu
university-of-alaska-fairbanks_AK_64.858_-147.823,University of Alaska Fairbanks,64.85756,-147.823146,AK,Public Flagship Universities,Public,,"4,027","$8,640.00",www.uaf.edu
alaska-pacific-university_AK_61.191_-149.804,Alaska Pacific University,61.190968,-149.804168,AK,Elite Private Universities,Private Nonprofit,86.2%,400,"$20,760.00",www.alaskapacific.edu
brookline-college-phoenix_AZ_33.566_-112.112,Brookline College-Phoenix,33.566102,-112.112473,AZ,Online / For-Profit,Private For-profit,,714,,www.brooklinecollege.edu
arizona-state-university-campus-immersion_AZ_33.418_-111.934,Arizona State University Campus Immersion,33.417721,-111.934383,AZ,Public Flagship Universities,Public,90.2%,"64,398","$12,051.00",www.asu.edu
arizona-western-college_AZ_32.689_-114.496,Arizona Western College,32.689306,-114.495968,AZ,Community Colleges,Public,,"6,198","$3,020.00",www.azwestern.edu
university-of-arizona_AZ_32.233_-110.951,University of Arizona,32.232672,-110.950815,AZ,Public Flagship Universities,Public,85.7%,"40,769","$13,626.00",www.arizona.edu
cochise-county-community-college-district_AZ_31.565_-110.247,Cochise County Community College District,31.564597,-110.246946,AZ,Community Colleges,Public,,"3,007","$2,232.00",www.cochise.edu
embry-riddle-aeronautical-university-prescott_AZ_34.617_-112.450,Embry-Riddle Aeronautical University-Prescott,34.616766,-112.449741,AZ,STEM / Technology Institutes,Private Nonprofit,75.2%,"3,245","$42,204.00",prescott.erau.edu
the-school-of-architecture_AZ_33.524_-111.917,The School of Architecture,33.524271,-111.916785,AZ,Business / Arts / Specialty Schools,Private Nonprofit,,,,tsoa.edu
grand-canyon-university_AZ_33.513_-112.130,Grand Canyon University,33.513231,-112.129929,AZ,Online / For-Profit,Private For-profit,60.4%,"68,619","$17,450.00",www.gcu.edu
dine-college_AZ_36.293_-109.217,Dine College,36.293328,-109.21684,AZ,Community Colleges,Public,,"1,507","$1,410.00",www.dinecollege.edu
northern-arizona-university_AZ_35.188_-111.654,Northern Arizona University,35.188449,-111.653724,AZ,Public Regional Universities,Public,91.0%,"23,041","$12,652.00",nau.edu
pima-medical-institute-tucson_AZ_32.248_-110.879,Pima Medical Institute-Tucson,32.248067,-110.878783,AZ,Online / For-Profit,Private For-profit,,"2,619",,pmi.edu
prescott-college_AZ_34.545_-112.477,Prescott College,34.5452,-112.477185,AZ,Private Liberal Arts Colleges,Private Nonprofit,98.6%,253,"$35,685.00",prescott.edu
arizona-christian-university_AZ_33.623_-112.182,Arizona Christian University,33.622952,-112.181776,AZ,Faith-Based,Private Nonprofit,74.4%,"1,127","$34,697.00",arizonachristian.edu
universal-technical-institute-of-arizona-inc_AZ_33.453_-112.288,Universal Technical Institute of Arizona Inc,33.453005,-112.288123,AZ,Online / For-Profit,Private For-profit,,"1,791",,www.uti.edu
university-of-arkansas-at-little-rock_AR_34.723_-92.340,University of Arkansas at Little Rock,34.723254,-92.339778,AR,Public Flagship Universities,Public,57.7%,"4,740","$8,455.00",ualr.edu/www
university-of-arkansas-for-medical-sciences_AR_34.750_-92.322,University of Arkansas for Medical Sciences,34.750152,-92.322348,AR,Public Flagship Universities,Public,,"1,361",,www.uams.edu
arkansas-baptist-college_AR_34.735_-92.291,Arkansas Baptist College,34.734751,-92.290555,AR,Faith-Based,Private Nonprofit,,373,"$8,760.00",www.arkansasbaptist.edu
lyon-college_AR_35.778_-91.625,Lyon College,35.777619,-91.625354,AR,Private Liberal Arts Colleges,Private Nonprofit,65.5%,563,"$31,000.00",www.lyon.edu
university-of-arkansas_AR_36.070_-94.177,University of Arkansas,36.070009,-94.176981,AR,Public Flagship Universities,Public,71.7%,"27,312","$9,748.00",www.uark.edu
university-of-arkansas-at-pine-bluff_AR_34.244_-92.019,University of Arkansas at Pine Bluff,34.244031,-92.018683,AR,Public Flagship Universities,Public,57.5%,"1,899","$9,019.00",www.uapb.edu
arkansas-state-university-beebe_AR_35.074_-91.895,Arkansas State University-Beebe,35.074176,-91.895351,AR,Community Colleges,Public,,"1,902","$3,216.00",www.asub.edu
arkansas-state-university_AR_35.842_-90.680,Arkansas State University,35.842388,-90.679988,AR,Public Flagship Universities,Public,69.7%,"7,994","$7,754.00",www.astate.edu
arkansas-tech-university_AR_35.293_-93.136,Arkansas Tech University,35.293237,-93.13562,AR,Community Colleges,Public,96.3%,"5,993","$8,508.00",www.atu.edu
baptist-health-college-little-rock_AR_34.713_-92.407,Baptist Health College Little Rock,34.713115,-92.40692,AR,Faith-Based,Private Nonprofit,100.0%,512,"$13,593.00",www.bhclr.edu
university-of-central-arkansas_AR_35.078_-92.458,University of Central Arkansas,35.077945,-92.457672,AR,Public Regional Universities,Public,90.5%,"7,426","$10,118.00",www.uca.edu
central-baptist-college_AR_35.084_-92.445,Central Baptist College,35.083838,-92.445021,AR,Faith-Based,Private Nonprofit,46.4%,477,"$19,680.00",www.cbc.edu
crowley-s-ridge-college_AR_36.065_-90.584,Crowley's Ridge College,36.064845,-90.584395,AR,Private Liberal Arts Colleges,Private Nonprofit,,162,"$16,440.00",www.crc.edu
harding-university_AR_35.247_-91.726,Harding University,35.247386,-91.726143,AR,Elite Private Universities,Private Nonprofit,100.0%,"3,323","$24,888.00",www.harding.edu
henderson-state-university_AR_34.128_-93.060,Henderson State University,34.128155,-93.059703,AR,Public Regional Universities,Public,81.9%,"1,491","$7,885.00",www.hsu.edu
hendrix-college_AR_35.102_-92.443,Hendrix College,35.101565,-92.443256,AR,Private Liberal Arts Colleges,Private Nonprofit,53.0%,"1,094","$36,650.00",www.hendrix.edu
jefferson-regional-school-of-nursing_AR_34.188_-92.018,Jefferson Regional School of Nursing,34.187831,-92.018045,AR,Community Colleges,Private Nonprofit,,80,,www.jrmc.org
john-brown-university_AR_36.190_-94.560,John Brown University,36.189812,-94.560283,AR,Elite Private Universities,Private Nonprofit,67.6%,"1,415","$30,832.00",www.jbu.edu
ouachita-baptist-university_AR_34.126_-93.052,Ouachita Baptist University,34.126093,-93.052471,AR,Faith-Based,Private Nonprofit,68.5%,"1,612","$32,480.00",obu.edu
university-of-the-ozarks_AR_35.476_-93.467,University of the Ozarks,35.476278,-93.467221,AR,Elite Private Universities,Private Nonprofit,58.1%,753,"$25,950.00",ozarks.edu
philander-smith-university_AR_34.737_-92.283,Philander Smith University,34.737131,-92.283015,AR,Elite Private Universities,Private Nonprofit,,842,"$13,014.00",www.philander.edu
shorter-college_AR_34.759_-92.261,Shorter College,34.75933,-92.261331,AR,Community Colleges,Private Nonprofit,,290,"$6,246.00",www.shortercollege.edu
williams-baptist-university_AR_36.126_-90.940,Williams Baptist University,36.125676,-90.940277,AR,Faith-Based,Private Nonprofit,58.9%,490,"$20,330.00",williamsbaptistuniversity.com
southern-arkansas-university-main-campus_AR_33.292_-93.236,Southern Arkansas University Main Campus,33.291618,-93.235922,AR,Public Regional Universities,Public,66.6%,"2,865","$9,820.00",www.saumag.edu
university-of-arkansas-fort-smith_AR_35.384_-94.374,University of Arkansas-Fort Smith,35.384184,-94.373729,AR,Public Flagship Universities,Public,81.5%,"4,133","$6,906.00",uafs.edu
academy-of-art-university_CA_37.788_-122.401,Academy of Art University,37.787943,-122.400578,CA,Online / For-Profit,Private For-profit,,"4,131","$28,024.00",www.academyart.edu
academy-of-chinese-culture-and-health-sciences_CA_37.806_-122.270,Academy of Chinese Culture and Health Sciences,37.805972,-122.269839,CA,Health & Medical Colleges,Private Nonprofit,,,,www.acchs.edu
college-of-alameda_CA_37.781_-122.279,College of Alameda,37.781017,-122.279303,CA,Community Colleges,Public,,"4,274","$1,148.00",alameda.edu
allan-hancock-college_CA_34.944_-120.421,Allan Hancock College,34.943716,-120.421144,CA,Community Colleges,Public,,"7,812","$1,156.00",www.hancockcollege.edu
american-academy-of-dramatic-arts-los-angeles_CA_34.095_-118.344,American Academy of Dramatic Arts-Los Angeles,34.095378,-118.343701,CA,Community Colleges,Private Nonprofit,89.7%,169,"$39,475.00",www.aada.edu
american-film-institute-conservatory_CA_34.108_-118.310,American Film Institute Conservatory,34.10767,-118.310018,CA,Business / Arts / Specialty Schools,Private Nonprofit,,,,www.afi.com
american-river-college_CA_38.651_-121.350,American River College,38.65085,-121.349672,CA,Community Colleges,Public,,"25,758","$1,288.00",www.arc.losrios.edu
antelope-valley-community-college-district_CA_34.676_-118.186,Antelope Valley Community College District,34.676207,-118.186166,CA,Community Colleges,Public,,"10,905","$1,124.00",www.avc.edu
art-center-college-of-design_CA_34.169_-118.185,Art Center College of Design,34.169031,-118.185102,CA,Business / Arts / Specialty Schools,Private Nonprofit,75.0%,"2,054","$51,640.00",www.artcenter.edu
azusa-pacific-university_CA_34.130_-117.888,Azusa Pacific University,34.130047,-117.888375,CA,Elite Private Universities,Private Nonprofit,79.5%,"2,977","$43,600.00",www.apu.edu
bakersfield-college_CA_35.409_-118.974,Bakersfield College,35.40911,-118.973753,CA,Community Colleges,Public,,"16,451","$1,430.00",www.bakersfieldcollege.edu
barstow-community-college_CA_34.870_-117.023,Barstow Community College,34.870285,-117.023412,CA,Community Colleges,Public,,"2,585","$1,104.00",www.barstow.edu
bethesda-university_CA_33.842_-117.941,Bethesda University,33.842295,-117.941323,CA,Elite Private Universities,Private Nonprofit,,212,"$7,220.00",www.buc.edu
biola-university_CA_33.906_-118.014,Biola University,33.906203,-118.014374,CA,Elite Private Universities,Private Nonprofit,60.1%,"3,390","$46,704.00",www.biola.edu
butte-college_CA_39.650_-121.645,Butte College,39.649782,-121.644831,CA,Community Colleges,Public,,"8,384","$1,336.00",www.butte.edu
california-institute-of-integral-studies_CA_37.775_-122.416,California Institute of Integral Studies,37.774924,-122.416102,CA,Public Regional Universities,Private Nonprofit,,57,,www.ciis.edu
cabrillo-college_CA_36.989_-121.925,Cabrillo College,36.989448,-121.924797,CA,Community Colleges,Public,,"7,404","$1,270.00",www.cabrillo.edu
california-baptist-university_CA_33.929_-117.426,California Baptist University,33.929321,-117.425619,CA,Faith-Based,Private Nonprofit,73.6%,"7,914","$39,720.00",www.calbaptist.edu
california-college-of-the-arts_CA_37.767_-122.399,California College of the Arts,37.767485,-122.399451,CA,Business / Arts / Specialty Schools,Private Nonprofit,73.4%,"1,004","$57,946.00",www.cca.edu
university-of-california-college-of-the-law-san-francisco_CA_37.781_-122.416,University of California College of the Law-San Francisco,37.781137,-122.4157,CA,Public Flagship Universities,Public,,,,www.uclawsf.edu
california-institute-of-technology_CA_34.137_-118.126,California Institute of Technology,34.137349,-118.125878,CA,Elite Private Universities,Private Nonprofit,3.1%,"1,023","$63,255.00",www.caltech.edu
california-lutheran-university_CA_34.225_-118.879,California Lutheran University,34.224566,-118.878924,CA,Faith-Based,Private Nonprofit,88.9%,"2,374","$50,670.00",www.callutheran.edu
california-polytechnic-state-university-san-luis-obispo_CA_35.300_-120.657,California Polytechnic State University-San Luis Obispo,35.299513,-120.657311,CA,STEM / Technology Institutes,Public,29.8%,"21,521","$11,075.00",calpoly.edu
california-state-university-bakersfield_CA_35.350_-119.105,California State University-Bakersfield,35.350005,-119.104711,CA,Public Flagship Universities,Public,88.2%,"8,183","$7,696.00",www.csub.edu
california-state-university-stanislaus_CA_37.526_-120.853,California State University-Stanislaus,37.52577,-120.852511,CA,Public Flagship Universities,Public,97.5%,"8,564","$7,826.00",www.csustan.edu
california-state-university-san-bernardino_CA_34.183_-117.324,California State University-San Bernardino,34.182622,-117.323801,CA,Public Flagship Universities,Public,98.2%,"15,771","$7,675.00",www.csusb.edu
california-state-polytechnic-university-pomona_CA_34.058_-117.821,California State Polytechnic University-Pomona,34.057912,-117.821476,CA,STEM / Technology Institutes,Public,73.7%,"24,271","$7,439.00",www.cpp.edu
california-state-university-chico_CA_39.730_-121.845,California State University-Chico,39.729712,-121.844859,CA,Public Flagship Universities,Public,93.7%,"13,057","$8,064.00",www.csuchico.edu
california-state-university-dominguez-hills_CA_33.865_-118.256,California State University-Dominguez Hills,33.864766,-118.255917,CA,Public Flagship Universities,Public,91.3%,"12,642","$7,064.00",www.csudh.edu
california-state-university-fresno_CA_36.811_-119.745,California State University-Fresno,36.811154,-119.744569,CA,Public Flagship Universities,Public,96.4%,"21,070","$6,980.00",www.fresnostate.edu
california-state-university-fullerton_CA_33.882_-117.885,California State University-Fullerton,33.881506,-117.885446,CA,Public Flagship Universities,Public,86.7%,"36,956","$7,073.00",www.fullerton.edu
california-state-university-east-bay_CA_37.658_-122.054,California State University-East Bay,37.657694,-122.054135,CA,Public Flagship Universities,Public,96.8%,"10,422","$7,055.00",www.csueastbay.edu
california-state-university-long-beach_CA_33.783_-118.112,California State University-Long Beach,33.782818,-118.11204,CA,Public Flagship Universities,Public,47.1%,"34,131","$7,008.00",www.csulb.edu
california-state-university-los-angeles_CA_34.067_-118.169,California State University-Los Angeles,34.066927,-118.168965,CA,Public Flagship Universities,Public,91.9%,"21,478","$6,813.00",www.calstatela.edu
california-state-university-northridge_CA_34.240_-118.529,California State University-Northridge,34.240126,-118.529319,CA,Public Flagship Universities,Public,93.2%,"32,357","$7,095.00",www.csun.edu
california-state-university-sacramento_CA_38.559_-121.424,California State University-Sacramento,38.559415,-121.423549,CA,Public Flagship Universities,Public,93.6%,"27,867","$7,602.00",www.csus.edu
university-of-california-berkeley_CA_37.872_-122.260,University of California-Berkeley,37.871918,-122.260463,CA,Public Flagship Universities,Public,11.7%,"33,073","$14,850.00",www.berkeley.edu
university-of-california-davis_CA_38.540_-121.750,University of California-Davis,38.539667,-121.749567,CA,Public Flagship Universities,Public,41.6%,"31,777","$15,247.00",ucdavis.edu
university-of-california-irvine_CA_33.648_-117.841,University of California-Irvine,33.648434,-117.841248,CA,Public Flagship Universities,Public,25.6%,"29,494","$14,237.00",www.uci.edu
university-of-california-los-angeles_CA_34.072_-118.442,University of California-Los Angeles,34.07178,-118.442179,CA,Public Flagship Universities,Public,8.7%,"33,040","$13,747.00",www.ucla.edu
university-of-california-riverside_CA_33.972_-117.327,University of California-Riverside,33.97246,-117.32741,CA,Public Flagship Universities,Public,63.3%,"22,644","$14,170.00",www.ucr.edu
university-of-california-san-diego_CA_32.878_-117.236,University of California-San Diego,32.877749,-117.235866,CA,Public Flagship Universities,Public,24.5%,"33,787","$15,265.00",www.ucsd.edu
university-of-california-san-francisco_CA_37.764_-122.458,University of California-San Francisco,37.763737,-122.458489,CA,Public Flagship Universities,Public,,,,ucsf.edu
university-of-california-santa-barbara_CA_34.416_-119.846,University of California-Santa Barbara,34.416297,-119.846426,CA,Public Flagship Universities,Public,27.8%,"23,205","$14,965.00",www.ucsb.edu
university-of-california-santa-cruz_CA_36.996_-122.059,University of California-Santa Cruz,36.995584,-122.058801,CA,Public Flagship Universities,Public,62.5%,"17,812","$14,560.00",www.ucsc.edu
sofia-university_CA_37.430_-122.109,Sofia University,37.430325,-122.10866,CA,Online / For-Profit,Private For-profit,,7,,www.sofia.edu
haven-university_CA_33.777_-117.939,Haven University,33.777392,-117.939412,CA,Elite Private Universities,Private Nonprofit,,22,"$7,010.00",www.haven.edu
california-institute-of-the-arts_CA_34.393_-118.567,California Institute of the Arts,34.39327,-118.566837,CA,Business / Arts / Specialty Schools,Private Nonprofit,25.9%,881,"$56,724.00",www.calarts.edu
california-state-university-maritime-academy_CA_38.069_-122.232,California State University Maritime Academy,38.069061,-122.231551,CA,Public Flagship Universities,Public,98.7%,761,"$7,672.00",www.csum.edu
california-western-school-of-law_CA_32.722_-117.162,California Western School of Law,32.722192,-117.162416,CA,Public Regional Universities,Private Nonprofit,,,,www.cwsl.edu
canada-college_CA_37.449_-122.265,Canada College,37.44877,-122.265398,CA,Community Colleges,Public,,"4,878","$1,332.00",canadacollege.edu
college-of-the-canyons_CA_34.404_-118.569,College of the Canyons,34.403993,-118.568698,CA,Community Colleges,Public,,"15,365","$1,176.00",www.canyons.edu
casa-loma-college-los-angeles_CA_34.155_-118.467,Casa Loma College-Los Angeles,34.155096,-118.466548,CA,Community Colleges,Private Nonprofit,36.4%,581,,www.casalomacollege.edu
cerro-coso-community-college_CA_35.568_-117.668,Cerro Coso Community College,35.567525,-117.66767,CA,Community Colleges,Public,,"3,496","$1,384.00",cerrocoso.edu
chabot-college_CA_37.642_-122.106,Chabot College,37.642458,-122.105636,CA,Community Colleges,Public,,"10,861","$1,150.00",www.chabotcollege.edu
chaffey-college_CA_34.148_-117.574,Chaffey College,34.147663,-117.573932,CA,Community Colleges,Public,,"13,568","$1,184.00",www.chaffey.edu
chapman-university_CA_33.793_-117.853,Chapman University,33.79302,-117.852518,CA,Elite Private Universities,Private Nonprofit,55.6%,"7,629","$62,784.00",www.chapman.edu
charles-r-drew-university-of-medicine-and-science_CA_33.926_-118.243,Charles R Drew University of Medicine and Science,33.925658,-118.242791,CA,Health & Medical Colleges,Private Nonprofit,38.8%,233,"$18,933.00",www.cdrewu.edu
concordia-university-irvine_CA_33.654_-117.812,Concordia University-Irvine,33.653665,-117.812305,CA,Elite Private Universities,Private Nonprofit,59.9%,"1,456","$41,390.00",www.cui.edu
san-diego-christian-college_CA_32.843_-116.978,San Diego Christian College,32.843454,-116.978089,CA,Faith-Based,Private Nonprofit,62.8%,91,"$26,300.00",sdcc.edu
church-divinity-school-of-the-pacific_CA_37.876_-122.261,Church Divinity School of the Pacific,37.876184,-122.261122,CA,Public Regional Universities,Private Nonprofit,,,,www.cdsp.edu
claremont-graduate-university_CA_34.104_-117.714,Claremont Graduate University,34.103585,-117.713703,CA,Elite Private Universities,Private Nonprofit,,,,www.cgu.edu
claremont-mckenna-college_CA_34.102_-117.711,Claremont McKenna College,34.102154,-117.711188,CA,Private Liberal Arts Colleges,Private Nonprofit,11.1%,"1,379","$64,150.00",www.cmc.edu
coastline-community-college_CA_33.716_-117.929,Coastline Community College,33.716054,-117.928979,CA,Community Colleges,Public,,"7,007","$1,180.00",www.coastline.edu
university-of-silicon-valley_CA_37.414_-121.941,University of Silicon Valley,37.414049,-121.94087,CA,Online / For-Profit,Private For-profit,51.3%,377,"$22,480.00",usv.edu
western-university-of-health-sciences_CA_34.058_-117.748,Western University of Health Sciences,34.058092,-117.747732,CA,Health & Medical Colleges,Private Nonprofit,,,,www.westernu.edu
columbia-college_CA_38.030_-120.388,Columbia College,38.030367,-120.388385,CA,Community Colleges,Public,,"1,917","$1,547.00",www.gocolumbia.edu
california-college-of-asu_CA_34.039_-118.260,California College of ASU,34.039355,-118.25968,CA,Private Liberal Arts Colleges,Private Nonprofit,,149,"$26,175.00",www.columbiacollege.edu
compton-college_CA_33.878_-118.209,Compton College,33.878226,-118.209463,CA,Community Colleges,Public,,"2,881","$1,142.00",www.compton.edu
cosumnes-river-college_CA_38.453_-121.423,Cosumnes River College,38.45295,-121.423108,CA,Community Colleges,Public,,"13,527","$1,288.00",www.crc.losrios.edu
crafton-hills-college_CA_34.039_-117.101,Crafton Hills College,34.039178,-117.101173,CA,Community Colleges,Public,,"5,074","$1,188.00",www.craftonhills.edu
cuyamaca-college_CA_32.744_-116.943,Cuyamaca College,32.744305,-116.942854,CA,Community Colleges,Public,,"6,788","$1,340.00",www.cuyamaca.edu
de-anza-college_CA_37.320_-122.046,De Anza College,37.319914,-122.045783,CA,Community Colleges,Public,,"14,953","$1,562.00",www.deanza.edu
college-of-the-desert_CA_33.732_-116.388,College of the Desert,33.732108,-116.388271,CA,Community Colleges,Public,,"8,900","$1,326.00",www.collegeofthedesert.edu
design-institute-of-san-diego_CA_32.881_-117.167,Design Institute of San Diego,32.880926,-117.167374,CA,Online / For-Profit,Private For-profit,87.5%,92,"$29,350.00",www.disd.edu
diablo-valley-college_CA_37.969_-122.073,Diablo Valley College,37.968516,-122.073142,CA,Community Colleges,Public,,"14,734","$1,312.00",www.dvc.edu
dominican-university-of-california_CA_37.981_-122.512,Dominican University of California,37.981279,-122.512051,CA,Elite Private Universities,Private Nonprofit,95.6%,"1,178","$50,666.00",www.dominican.edu
dominican-school-of-philosophy-theology_CA_37.881_-122.265,Dominican School of Philosophy & Theology,37.881099,-122.264612,CA,Public Regional Universities,Private Nonprofit,,,,www.dspt.edu
east-los-angeles-college_CA_34.041_-118.149,East Los Angeles College,34.040531,-118.148785,CA,Community Colleges,Public,,"24,401","$1,238.00",www.elac.edu
el-camino-community-college-district_CA_33.885_-118.330,El Camino Community College District,33.885229,-118.329913,CA,Community Colleges,Public,,"18,994","$1,144.00",www.elcamino.edu
emperor-s-college-of-traditional-oriental-medicine_CA_34.030_-118.485,Emperor's College of Traditional Oriental Medicine,34.030438,-118.485119,CA,Online / For-Profit,Private For-profit,,,,www.emperors.edu
empire-college_CA_38.468_-122.729,Empire College,38.468052,-122.729337,CA,Online / For-Profit,Private For-profit,,,,empcol.edu
evergreen-valley-college_CA_37.302_-121.766,Evergreen Valley College,37.30167,-121.76561,CA,Community Colleges,Public,,"7,670","$1,366.00",www.evc.edu
fidm-fashion-institute-of-design-merchandising_CA_34.044_-118.260,FIDM-Fashion Institute of Design & Merchandising,34.044209,-118.25993,CA,Online / For-Profit,Private For-profit,41.5%,"1,319","$34,325.00",www.fidm.edu
feather-river-community-college-district_CA_39.953_-120.973,Feather River Community College District,39.953101,-120.973067,CA,Community Colleges,Public,,"1,574","$1,465.00",www.frc.edu
fielding-graduate-university_CA_34.429_-119.717,Fielding Graduate University,34.42941,-119.717161,CA,Elite Private Universities,Private Nonprofit,,,,www.fielding.edu
